n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
4,65536,0.021940480000921525,2986990.257152415,0.004071152441157708,GPU,zero,statevector
5,65536,0.023280589986825362,2815048.9329130943,0.004374085654352585,GPU,zero,statevector
6,65536,0.030810616997769102,2127058.99413651,0.0046166852590752315,GPU,zero,statevector
7,65536,0.026349883002694696,2487145.768096879,0.0041003861329798235,GPU,zero,statevector
8,65536,0.028564790001837537,2294293.078849316,0.004025024452934858,GPU,zero,statevector
9,65536,0.03810985400923528,1719660.2218449449,0.003820430262336139,GPU,zero,statevector
10,65536,0.0404349439922953,1620776.3268446121,0.003884193616116921,GPU,zero,statevector
11,65536,0.045616457995492965,1436674.4565409955,0.003976956829462367,GPU,zero,statevector
12,65536,0.0409644649917027,1599825.6052721362,0.00397888834297829,GPU,zero,statevector
13,65536,0.04714460400282405,1390106.0659258962,0.003904759599555049,GPU,zero,statevector
14,65536,0.05964730501000304,1098725.2481735665,0.003931974109770339,GPU,zero,statevector
15,65536,0.0678551179880742,965822.5045238034,0.003918687570035064,GPU,zero,statevector
16,65536,0.07022244999825489,933262.7956106437,0.003904282551253027,GPU,zero,statevector
17,65536,0.08242054100264795,795141.5897390736,0.003910479639877805,GPU,zero,statevector
18,65536,0.09292117600853089,705285.9511160651,0.0039006431394698325,GPU,zero,statevector
19,65536,0.10242959200695623,639815.1033887678,0.003912682006185685,GPU,zero,statevector
20,65536,0.10896848898846656,601421.5724963981,0.003907978152425103,GPU,zero,statevector
21,65536,0.13794426899403334,475090.414976462,0.003907024783545019,GPU,zero,statevector
22,65536,0.18457523699908052,355063.8810791638,0.0039040440052424633,GPU,zero,statevector
23,65536,0.2780612009955803,235689.1208315024,0.0039050577251500194,GPU,zero,statevector
24,65536,0.4888876940094633,134051.2367217233,0.0039061903949004703,GPU,zero,statevector
25,65536,0.9035744889988564,72529.71481367592,0.003906488411303588,GPU,zero,statevector
26,65536,1.8183281519886805,36041.89921842445,0.003906309604190035,GPU,zero,statevector
27,65536,3.652320100009092,17943.662714513128,0.003906309604190035,GPU,zero,statevector
3,131072,0.04072116099996492,3218768.737956978,0.0027396219864839278,GPU,zero,statevector
4,131072,0.05103596700064372,2568228.0106174294,0.0030606331511839405,GPU,zero,statevector
5,131072,0.0463705319998553,2826622.7353270175,0.003477045813193868,GPU,zero,statevector
