target,init,shots,n_bits,sim_time_s,l2_error
qiskit-cpu,zero,16384,12,0.0575621239986503,0.0077852728376066
qiskit-cpu,zero,16384,13,0.0588133910059696,0.0077131631686641
qiskit-cpu,zero,16384,14,0.0652963559987256,0.0078005699621935
qiskit-cpu,zero,16384,15,0.0417953750002197,0.0077651496296532
qiskit-cpu,zero,16384,16,0.0815016190026653,0.0078072530292948
qiskit-cpu,zero,16384,17,0.1364111490111099,0.0078129768226071
qiskit-cpu,zero,16384,18,0.2220442200050456,0.0077986594625415
qiskit-cpu,zero,16384,19,1.1105042550043436,0.0078267920419484
qiskit-cpu,zero,16384,20,0.7410845550039085,0.0078039122111448
qiskit-cpu,zero,16384,21,0.7217948579927906,0.0078115462674688
qiskit-cpu,zero,16384,22,1.3800558660004754,0.0078129768226071
qiskit-cpu,zero,16384,23,2.581510099000297,0.0078115462674688
qiskit-cpu,zero,16384,24,5.37485417399148,0.0078125
qiskit-cpu,zero,16384,25,7.068185447002179,0.0078120231482889
qiskit-cpu,zero,16384,26,18.62564695600304,0.0078134536161158
qiskit-cpu,zero,16384,27,34.34039989199664,0.0078129768226071
qiskit-cpu,zero,32768,3,0.0127122860139934,0.0048452842497532
qiskit-cpu,zero,32768,4,0.012750480993418,0.0036839153841119
qiskit-cpu,zero,32768,5,0.0171019300032639,0.0042251143310246
qiskit-cpu,zero,32768,6,0.0196094290004111,0.0055849669353561
qiskit-cpu,zero,32768,7,0.0443277820013463,0.0051363903564378
qiskit-cpu,zero,32768,8,0.0310056809976231,0.0053868496154866
qiskit-cpu,zero,32768,9,0.0452749480027705,0.0056780740474247
qiskit-cpu,zero,32768,10,0.0429041480092564,0.0056049418450978
qiskit-cpu,zero,32768,11,0.0479879819904454,0.0054530053330547
qiskit-cpu,zero,32768,12,0.0864274829946225,0.0054372698855761
qiskit-cpu,zero,32768,13,0.0684433340065879,0.0055464806215021
qiskit-cpu,zero,32768,14,0.0901164859969867,0.0055286532626743
qiskit-cpu,zero,32768,15,0.1041151530080242,0.0055310111128951
qiskit-cpu,zero,32768,16,0.185733156002243,0.0055288217138943
qiskit-cpu,zero,32768,17,0.1702152719954028,0.0055325263431195
qiskit-cpu,zero,32768,18,0.1096811139868805,0.0055229228641912
qiskit-cpu,zero,32768,19,0.166965632000938,0.0055259573447948
qiskit-cpu,zero,32768,20,0.3526600220066029,0.0055276424475525
qiskit-cpu,zero,32768,21,0.469798443999025,0.0055259573447948
qiskit-cpu,zero,32768,22,1.331878747994779,0.0055262944064527
qiskit-cpu,zero,32768,23,2.7197538820037157,0.0055264629295725
qiskit-cpu,zero,32768,24,5.735880995009211,0.0055252831597932
qiskit-cpu,zero,32768,25,9.829928074992496,0.0055232601110308
qiskit-cpu,zero,32768,26,17.758858447006787,0.0055247774670521
qiskit-cpu,zero,32768,27,32.07412202699925,0.0055246088925188
qiskit-cpu,zero,65536,3,0.0277570830076001,0.0039248025917414
qiskit-cpu,zero,65536,4,0.0343065549968741,0.0038873693027175
qiskit-cpu,zero,65536,5,0.0412182970030698,0.0038252417741982
qiskit-cpu,zero,65536,6,0.063265984004829,0.0037659235475835
qiskit-cpu,zero,65536,7,0.1032405649893917,0.0038032665654198
qiskit-cpu,zero,65536,8,0.0877791660022921,0.0039044018187929
qiskit-cpu,zero,65536,9,0.0912583090102998,0.003857366344197
qiskit-cpu,zero,65536,10,0.0904412170057185,0.0039336909610741
qiskit-cpu,zero,65536,11,0.1083537990052718,0.0038870099212617
qiskit-cpu,zero,65536,12,0.1036289030016632,0.0038833543219053
qiskit-cpu,zero,65536,13,0.1228692430013325,0.0039265225787548
qiskit-cpu,zero,65536,14,0.1145290569984354,0.003947162949606
qiskit-cpu,zero,65536,15,0.1126756300072884,0.0038874890891532
qiskit-cpu,zero,65536,16,0.1444908620032947,0.0039083951781828
qiskit-cpu,zero,65536,17,0.4398462120007025,0.0039045210826896
qiskit-cpu,zero,65536,18,0.2178757349902298,0.0039030300220451
qiskit-cpu,zero,65536,19,0.3458417729998473,0.0039036861588946
qiskit-cpu,zero,65536,20,0.4870306789962342,0.0039058923557589
qiskit-cpu,zero,65536,21,1.0303799640096258,0.0039073227363082
qiskit-cpu,zero,65536,22,1.7044571110018296,0.0039077994134768
